Law Id,State,Title,Text,Enacted Date,Amended Date,Recent?,Sequence Number,Type,Agency,Significant Update Date,Expired Date,Archived Date,Repealed Date,Topic,Technology Categories,Incentive Categories,Regulation Categories,User Categories,References
6591,DE,Idle Reduction Weight Exemption,"Any motor vehicle equipped with qualified idle reduction technology may
exceed the state gross, axle, tandem, or bridge weight limits by up to
400 pounds to account for the weight of the technology. The additional
weight may not exceed the actual weight of the idle reduction unit. To
qualify for the exemption, the vehicle operator must also be able to
prove the weight of the idle reduction technology and demonstrate that
the technology is fully functional. (Reference [Delaware
Code](http://delcode.delaware.gov/index.shtml) Title 21, Chapter 45,
Section 4503f)
",2009-07-08 00:00:00 UTC,,FALSE,15,State Incentives,,,,,,,IR,EXEM,,FLEET|GOV|IND,http://delcode.delaware.gov/index.shtml
6592,DE,Vehicle-to-Grid Energy Credit,"Retail electricity customers with at least one grid-integrated electric
vehicle (EV) may qualify to receive kilowatt-hour credits for energy
discharged to the grid from the EV's battery at the same rate that the
customer pays to charge the battery. A grid-integrated EV is defined as
a battery-powered motor vehicle that has the ability for two-way power
flow between the vehicle and the electric grid as well as communications
hardware and software that allow for external control of battery
charging and discharging. (Reference [Delaware
Code](http://delcode.delaware.gov/index.shtml) Title 26, Chapter 10,
Section 1001 and 1014g)
",2009-09-21 00:00:00 UTC,,FALSE,10,State Incentives,,,,,,,ELEC|PHEV,RBATE,,FLEET|IND,http://delcode.delaware.gov/index.shtml
6599,ME,Idle Reduction Weight Exemption,"Any heavy-duty vehicle equipped with a qualified auxiliary power unit
(APU) may exceed the state\'s gross vehicle and axle weight limits by up
to 400 pounds to compensate for the additional weight of the APU.
(Reference [Maine Revised
Statutes](http://www.mainelegislature.org/legis/statutes/) Title 29-A,
Section 2360)
",2009-03-13 00:00:00 UTC,,FALSE,25,State Incentives,,,,,,,IR,EXEM,,FLEET|GOV|IND,http://www.mainelegislature.org/legis/statutes/
6601,DC,Reduced Registration Fee for Alternative Fuel and Fuel-Efficient Vehicles,"A new motor vehicle with a U.S. Environmental Protection Agency
estimated average city fuel economy of at least 40 miles per gallon is
eligible for a reduced vehicle registration fee of \$36. This reduced
rate applies to the first two years of registration and only the
original purchaser, as denoted by the Manufacturer Certificate of
Origin, is eligible. For more information, see the District of Columbia
[Department of Motor Vehicles](https://dmv.dc.gov/node/155452) website.
(Reference [District of Columbia
Code](https://code.dccouncil.us/dc/council/code/) 50-1501.03)
",,,FALSE,10,State Incentives,,,,,,,EFFEC,OTHER,,FLEET|IND,https://code.dccouncil.us/dc/council/code/
6603,LA,Alternative Fuel Vehicle (AFV) Tax Credit,"Louisiana offers a nonrefundable income tax credit for new original
equipment manufacturer AFVs purchased before July 1, 2021. A taxpayer
may take a tax credit of 10% of the cost of the motor vehicle, up to
\$2,500. To qualify for the tax credit, vehicles must have a dedicated
alternative fuel storage and delivery system and be registered in
Louisiana. For the purpose of this incentive, alternative fuels include
natural gas, propane, biofuel, biodiesel, methanol, ethanol, and
electricity. (Reference [Senate
Bill](https://legis.la.gov/legis/home.aspx) 8, 2021, [Louisiana Revised
Statutes](http://www.legis.state.la.us/) 47:6035, and [Louisiana
Administrative Code](http://www.doa.la.gov/Pages/osr/lac/books.aspx)
Title 61, Section 1913)
",2009-07-09 00:00:00 UTC,2013-04-30 00:00:00 UTC,FALSE,20,State Incentives,,2017-09-11 13:05:02 UTC,2022-01-01 00:00:00 UTC,,,,AFTMKTCONV|BIOD|ETH|ELEC|NG|PHEV|LPG,TAX,,MAN|FLEET|IND,http://www.legis.la.gov/legis/home.aspx|http://www.legis.state.la.us/|http://www.legis.la.gov/legis/home.aspx|http://doa.louisiana.gov/osr/lac/lac.htm|http://www.legis.la.gov/legis/home.aspx
6611,DE,Propane Infrastructure and Fuel Incentives - Sharp Energy,"Sharp Energy provides fueling equipment at a reduced cost to fleets that
convert to propane vehicles. For more information about this program,
see the Sharp Energy [Autogas](https://sharpautogas.com/why-autogas/)
website.
",,,FALSE,25,Utility/Private Incentives,,,,2020-10-10 00:00:00 UTC,,,LPG,OTHER,,STATION|PURCH|FLEET|IND,
6612,PA,Idle Reduction and Natural Gas Vehicle (NGV) Weight Exemption,"A vehicle equipped with qualified idle reduction technology may exceed
the state\'s gross and axle weight limits by up to 400 pounds (lbs.) to
compensate for the additional weight of the idle reduction technology. A
vehicle primarily powered by natural gas may exceed the state\'s gross
vehicle weight limits by a weight equal to the difference between the
weight of the vehicle with the natural gas tank and fueling system and
the weight of a comparable vehicle with a diesel tank and fueling
system. Any NGV may exceed the limits by up to 2,000 lbs. (Reference
Title 35 [Pennsylvania
Statutes](http://government.westlaw.com/linkedslice/default.asp?SP=pac-1000),
Chapter 23B, Section 4604 and Title 75 [Pennsylvania
Statutes](http://government.westlaw.com/linkedslice/default.asp?SP=pac-1000),
Part IV, Chapter 49, Subchapter C, Section 4941)
",2008-10-09 00:00:00 UTC,2017-07-20 00:00:00 UTC,FALSE,40,State Incentives,,2018-02-09 20:24:35 UTC,,,,,IR|NG,EXEM,,FLEET|GOV|IND,http://www.legis.state.pa.us/
6614,CA,Plug-In Electric Vehicle (PEV) and Natural Gas Infrastructure Charging Rate Reduction - SDG&E,"San Diego Gas & Electric (SDG&E) offers three PEV Time-of-Use (TOU)
rates to customers, using a single meter or requiring the installation
of a second meter. Lower natural gas rates are available to customers
who own a natural gas vehicle (NGV) and use a qualified compressed
natural gas fueling appliance at home. For more information about rates,
see the SDG&E [EV
Plans](https://www.sdge.com/residential/pricing-plans/about-our-pricing-plans/electric-vehicle-plans)
and [NGV
Rates](http://regarchive.sdge.com/tm2/pdf/GAS_GAS-SCHEDS_G-NGV.pdf)
websites.
",,,FALSE,153,Utility/Private Incentives,,,,,,,ELEC|NG|PHEV,OTHER,,STATION|IND,
6628,IL,Low-Speed Vehicle Access to Roadways,"Low-speed vehicles may operate on streets with posted speed limits up to
30 miles per hour (mph) if authorized by the local government. Low-speed
vehicles are allowed to cross an intersection where the road or street
has a posted speed limit of up to 45 mph. Low-speed vehicles may cross
an intersection where the road or street has a posted speed limit of
more than 45 mph if the intersection is controlled by a traffic light or
a four-way stop sign. Local governments may restrict low-speed vehicle
access on streets with posted speed limits of 30 mph or less if they
determine that public safety may be jeopardized. A low-speed vehicles is
defined as a four-wheeled motor vehicle capable of maintaining a speed
of more than 20 mph, but not more than 25 mph, and conform to federal
regulations under Title 49 of the [U.S. Code of Federal
Regulations](https://www.govinfo.gov/app/collection/cfr), section
571.500. (Reference 625 [Illinois Compiled
Statutes](http://www.ilga.gov/legislation/ilcs/ilcs.asp) 5/1-140.7 and
5/11-1426.2)
",2009-08-24 00:00:00 UTC,2011-07-14 00:00:00 UTC,FALSE,175,Laws and Regulations,,,,,,,NEVS,,DREST,FLEET|GOV|IND,
8161,CA,Plug-In Hybrid and Zero Emission Light-Duty Vehicle Rebates,"The Clean Vehicle Rebate Project (CVRP) offers rebates for the purchase
or lease of qualified vehicles. Qualified vehicles are light-duty
electric vehicles (EVs), fuel cell electric vehicles (FCEVs), and
plug-in hybrid electric vehicles (PHEVs) the California Air Resources
Board (ARB) has approved or certified. The rebates are for up to \$4,500
for FCEVs, \$2,000 for EVs, \$1,000 for PHEVs, and \$750 for zero
emission motorcycles. Rebates are available on a first-come,
first-served basis to individuals, business owners, and government
entities in California that purchase or lease new eligible vehicles.
Residents of San Diego County may be eligible for a preapproved rebate
through the CVRP [Rebate
Now](https://cleanvehiclerebate.org/eng/rebatenow) pilot. Manufacturers
must apply to ARB to have their vehicles included in the CVRP.

Individuals are eligible for the rebate based on gross annual income, as
stated on the individual\'s federal tax return. Individuals with a gross
annual income above the following thresholds are eligible for all
rebates except those that apply to FCEVs:

-   \$150,000 for single filers
-   \$204,000 for head-of-household filers
-   \$300,000 for joint filers

For individuals with low and moderate household incomes of less than or
equal to 300% of the federal poverty level, rebates are increased by
\$2,500. Increased rebates are available for ARB-approved FCEVs, PHEVs,
and PEVs. ARB must provide outreach to low income households and
communities to raise awareness about CVRP. Through January 1, 2022, ARB
must prioritize rebate payments for low income applicants.

ARB determines annual funding amounts for the CVRP, which is expected to
be effective through 2023. For more information, including information
on income verification, a list of eligible vehicles, and instructions on
how to apply, see the [CVRP](https://cleanvehiclerebate.org/eng)
website.

(Reference [California Health and Safety Code](https://oal.ca.gov/)
44274 and 44258)
",2010-03-15 00:00:00 UTC,2018-09-13 00:00:00 UTC,FALSE,12,State Incentives,,2019-12-10 14:35:57 UTC,,,,,ELEC|HY|NEVS|PHEV,RBATE,,FLEET|GOV|IND,http://www.oal.ca.gov/|http://www.oal.ca.gov/|http://leginfo.legislature.ca.gov/faces/home.xhtml
8200,WV,Idle Reduction Weight Exemption,"Any motor vehicle equipped with qualified idle reduction technology may
exceed the state gross and axle weight limits by up to 550 pounds, as
provided under Title 23 [U.S.
Code](https://www.govinfo.gov/app/collection/uscode/), section
127(a)(12), to compensate for the added weight of the idle reduction
technology. (Reference [West Virginia
Code](http://www.legis.state.wv.us/WVCODE/Code.cfm) 17C-13A-4)
",2010-04-02 00:00:00 UTC,,FALSE,25,State Incentives,,,,,,,IR,EXEM,,FLEET|GOV|IND,http://www.legis.state.wv.us/WVCODE/Code.cfm
8201,WV,Idle Reduction Requirement,"A commercial motor vehicle with a gross vehicle weight rating of 10,001
pounds or more may not idle for more than 15 minutes in any 60-minute
period. Exceptions apply, including those pertaining to emergency
vehicles, auxiliary power unit use, and outside temperature.
Additionally, exemptions apply to diesel vehicles with a label issued by
the California Air Resources Board and diesel vehicles powered by clean
diesel technology or biodiesel. (Reference [West Virginia
Code](http://www.legis.state.wv.us/WVCODE/Code.cfm) 17C-13A-1 through
17C-13A-3)
",2010-04-02 00:00:00 UTC,2012-03-16 00:00:00 UTC,FALSE,45,Laws and Regulations,,,,,,,IR,,AIRQEMISSIONS|DREST,FLEET|GOV|IND,http://www.legis.state.wv.us/WVCODE/Code.cfm
8204,UT,Compressed Natural Gas (CNG) Vehicle Aftermarket Conversion Requirements,"Vehicles converted to operate on CNG must be inspected and certified in
accordance with relevant safety standards by a CSA America-certified CNG
Fuel System Inspector. The vehicle must also be tested to ensure that it
meets emissions standards in the applicable county, or the county with
the most lenient emissions standards if the vehicle is registered in a
county without its own emissions standards. A person who performs a
conversion must certify to the vehicle owner that the conversion does
not tamper with, circumvent, or otherwise affect the vehicle\'s on-board
diagnostic system, if applicable. A CSA America-certified CNG Fuel
System Inspector must also inspect the vehicle every three years, or
every 36,000 miles, and after a collision occurring at a speed greater
than five miles per hour.

The Utah Division of Air Quality may develop programs to facilitate
coordination between government agencies and the private sector
regarding emissions and anti-tampering compliance testing, vehicle
safety, and potential improvements in the air quality of the state.

(Reference [Utah Code](http://le.utah.gov/xcode/code.html) 19-1-406)
",2010-03-26 00:00:00 UTC,,FALSE,35,Laws and Regulations,,,,,,,AFTMKTCONV|NG,,AIRQEMISSIONS,MAN|FLEET|GOV|IND,http://le.utah.gov/xcode/code.html
8282,RI,Low-Speed Vehicle Access to Roadways - Prudence Island,"A low-speed vehicle may operate on the roadways of Prudence Island
between the hours of 6:00 am and 6:00 pm. A low-speed vehicle may not
operate on a street or highway with a posted speed limit greater than 25
miles per hour (mph), but it may cross a street or highway with a posted
speed limit greater than 35 mph. For the purpose of this regulation, a
low-speed vehicle is defined as a self-propelled, electric or gas
powered motor vehicle that is designed to carry no more than four
passengers; is designed to be and is operated at speeds of not more than
25 mph; and conforms to the maximum safety equipment requirements and
standards specified in Title 49 of the [U.S. Code of Federal
Regulations](https://www.govinfo.gov/app/collection/cfr), section
571.500. (Reference [Rhode Island General
Laws](http://webserver.rilin.state.ri.us/Statutes/) 31-19.4-1)
",2005-07-19 00:00:00 UTC,,FALSE,50,Laws and Regulations,,,,,,,NEVS,,DREST,FLEET|GOV|IND,http://webserver.rilin.state.ri.us/Statutes/
8360,AL,Idle Reduction and Natural Gas Vehicle (NGV) Weight Exemption,"Any motor vehicle equipped with an auxiliary power unit (APU) or other
idle reduction technology may exceed the gross, axle, tandem, or bridge
formula weight limits by up to 400 pounds (lbs.). To be eligible for the
weight exemption, the vehicle operator must be able to provide written
proof or certification of the weight of the APU and demonstrate or
certify that the idle reduction technology is fully functional at all
times. Any NGV may exceed the limits by up to 2,000 lbs. (Reference
[Code of
Alabama](http://alisondb.legislature.state.al.us/acas/ACASLogin.asp)
32-9-20)
",2010-04-14 00:00:00 UTC,2018-03-01 00:00:00 UTC,FALSE,15,State Incentives,,2018-07-11 16:59:20 UTC,,,,,IR|NG,EXEM,,FLEET|GOV|IND,http://alisondb.legislature.state.al.us/acas/ACASLogin.asp|http://www.legislature.state.al.us/aliswww/default.aspx
8382,MD,Plug-In Electric Vehicle (PEV) High Occupancy Vehicle (HOV) Lane Exemption,"Permitted PEVs may operate in any Maryland HOV lanes regardless of the
number of occupants. Qualified PEVs must have a maximum speed capability
of at least 65 miles per hour. To operate in HOV lanes, PEV owners must
obtain a permit from the Maryland Department of Transportation Motor
Vehicle Administration (MDOT MVA). Each year the MDOT MVA and the State
Highway Administration must report PEV use in HOV lanes to the governor.
This exemption expires September 30, 2022. For more information, see the
[HOV Permit Issuance for
PEVs](https://mva.maryland.gov/about-mva/Pages/info/27300/27300-54T.aspx)
website.

(Reference [Maryland
Statutes](http://mgaleg.maryland.gov/webmga/frm1st.aspx?tab=home),
Transportation Code 25-108 and 21-314)
",2010-05-20 00:00:00 UTC,2019-04-18 00:00:00 UTC,FALSE,20,State Incentives,,2019-05-08 17:00:31 UTC,2022-09-30 00:00:00 UTC,,,,ELEC|PHEV,EXEM,,FLEET|GOV|IND,http://mgaleg.maryland.gov/webmga/frm1st.aspx?tab=home|http://mgaleg.maryland.gov/webmga/frmMain.aspx?id=SB0033&stab=01&pid=billpage&tab=subject3&ys=2014RS|http://mgaleg.maryland.gov/webmga/frm1st.aspx?tab=home|http://mgaleg.maryland.gov/webmga/frm1st.aspx?tab=home
8383,MD,Limited Speed Vehicle Access to Roadways,"A limited speed vehicle is defined as a vehicle that is capable of
achieving a maximum speed of at least 25 miles per hour (mph) but no
more than 55 mph. Limited speed vehicles may only operate on highways on
which the maximum speed of the vehicle exceeds the posted speed limit by
at least 5 mph. Limited speed vehicles may not be sold without the
required limited speed emblems. Additionally, limited speed vehicle
purchasers must be informed in writing, of the limitations of vehicle
use on highways. (Reference [Maryland
Statutes](http://mgaleg.maryland.gov/webmga/frm1st.aspx?tab=home),
Transportation Code 15-313, 21-804, and 21-805.1)
",2010-05-20 00:00:00 UTC,,FALSE,80,Laws and Regulations,,,,,,,NEVS,,DREST,FLEET|GOV|IND,http://mgaleg.maryland.gov/webmga/frm1st.aspx?tab=home
8387,FL,Idle Reduction and Natural Gas Vehicle (NGV) Weight Exemption,"Any motor vehicle equipped with idle reduction technology may exceed the
gross vehicle or internal bridge weight by the amount equal to the
certified weight of the idle reduction technology, up to 550 pounds
(lbs.). To be eligible, the operator must present written verification
of the weight of the idle reduction technology and demonstrate that it
is fully functional at all times. Any NGV may exceed the limits by up to
2,000 lbs. (Reference [Florida Statutes](http://www.flsenate.gov/Laws/)
316.545)
",2010-06-04 00:00:00 UTC,2017-07-01 00:00:00 UTC,FALSE,20,State Incentives,,2018-02-22 16:04:44 UTC,,,,,IR|NG,EXEM,,FLEET|GOV|IND,http://www.flsenate.gov/Laws/|https://www.flsenate.gov/
8482,HI,Electric Vehicle Supply Equipment (EVSE) Policies for Multi-Family Residences,"A multi-family residential dwelling or townhouse owner may install EVSE
on or near a parking stall at the dwelling as long as the EVSE is in
compliance with applicable rules and specifications, the EVSE is
registered with the private entity within 30 days of installation, and
the homeowner receives consent from the private entity if the EVSE is
placed in a common area. Private entities may adopt rules that restrict
the placement and use of EVSE but may not charge a fee for the
placement. The EVSE owner is responsible for any damages resulting from
the installation, maintenance, repair, removal, or replacement of the
EVSE. A private entity includes associations of homeowners, community
associations, condominium associations, cooperatives, or any
nongovernmental entity with covenants.

A working group within the Hawaii Department of Business, Economic
Development, and Tourism identified and examined the issues regarding
multi-family dwelling EVSE requests to private entities. The group
[reported its
findings](https://files.hawaii.gov/dbedt/annuals/2015/2015-act-164-installation-of-ev-charging-stations.pdf)
and recommendations to the state legislature in December 2015.

(Reference [Hawaii Revised Statutes](http://www.capitol.hawaii.gov/)
196-7.5)
",2010-06-30 00:00:00 UTC,,FALSE,35,Laws and Regulations,,2015-07-13 15:00:44 UTC,,,,,ELEC|PHEV,,OTHER,STATION|FLEET|IND,http://www.capitol.hawaii.gov/|http://www.capitol.hawaii.gov/
8700,NE,Compressed Natural Gas (CNG) Vehicle Incentives - Metropolitan Utilities District (MUD),"Residential gas customers in the Omaha area served by the MUD are
eligible for a \$500 rebate for the purchase of a dedicated CNG vehicle.
Rebates are available on a first-come, first-served basis until December
7, 2021. Additional restrictions may apply. Commercial rebates are
available on a case-by-case basis. For more information, see the MUD
[Rebates](https://www.mudomaha.com/our-company/rebates) website.
",,,FALSE,40,Utility/Private Incentives,,2014-09-17 15:48:35 UTC,2021-12-07 00:00:00 UTC,,,,NG,RBATE,,IND,
8841,CA,Natural Gas Rate Reduction - SoCalGas,"Southern California Gas Company (SoCalGas) offers natural gas at
discounted rates to customers fueling natural gas vehicles (NGVs).
G-NGVR, Natural Gas Service for Home Fueling of Motor Vehicles, is
available to residential customers; G-NGV, Natural Gas Service for Motor
Vehicles, is available to commercial customers. For more information,
see the SoCalGas [NGV Incentives and
Grants](https://www.socalgas.com/for-your-business/natural-gas-vehicles/incentives-and-grants)
website.
",,,FALSE,160,Utility/Private Incentives,,,,,,,NG,OTHER,,PURCH|FLEET|GOV|IND,
8901,NY,Idle Reduction and Natural Gas Vehicle (NGV) Weight Exemption,"Any motor vehicle equipped with qualified idle reduction technology may
exceed the state\'s vehicle weight limits by up to 400 pounds (lbs.) to
compensate for the additional weight of the idle reduction technology.
The vehicle\'s operator must maintain written certification of the
device\'s weight and proof that it is fully functional and must provide
this proof to a law enforcement officer upon request. Any NGV may exceed
the limits by up to 2,000 lbs. (Reference [New York Vehicle and Traffic
Law](http://public.leginfo.state.ny.us/lawssrch.cgi?NVLWO:) 385)
",2010-08-30 00:00:00 UTC,2017-04-20 00:00:00 UTC,FALSE,20,State Incentives,,2018-02-22 16:10:24 UTC,,,,,IR|NG,EXEM,,FLEET|GOV|IND,http://public.leginfo.state.ny.us/menugetf.cgi?COMMONQUERY=LAWS|https://www.nysenate.gov/
8903,NY,Alternative Fuel Vehicle (AFV) Access to Tunnels,"An AFV powered by propane or natural gas may only use Port Authority of
New York and New Jersey (PANYNJ) tunnels and the lower level of the
George Washington Bridge if the vehicle conforms to applicable federal
regulations and industry standards, displays required markings to
identify its alternative fuel system, and has a fuel capacity that does
not exceed 150 pounds. For more information, see the PANYNJ [Truckers\'
Resources](http://www.panynj.gov/truckers-resources/) website.
",,,FALSE,80,Laws and Regulations,,,,,,,NG|LPG,,DREST,MAN|FLEET|GOV|IND,
8910,NJ,Alternative Fuel Vehicle (AFV) Access to Tunnels,"An AFV powered by propane or natural gas may only use Port Authority of
New York & New Jersey (PANYNJ) tunnels and the lower level of the George
Washington Bridge if the vehicle conforms to applicable federal
regulations and industry standards, displays required markings to
identify its alternative fuel system, and has a fuel capacity that does
not exceed 150 pounds.

An AFV powered by propane or natural gas may only use the Brigantine
Connector Tunnel if the vehicle has a dedicated alternate fuel system
installed by the manufacturer of the vehicle or a fuel system that has
been properly converted to an alternate fuel system, conforms to
applicable federal regulations and industry standards, has a fuel
capacity that does not exceed 100 gasoline gallon equivalents, and
displays all proper markings and symbols.

For more information, see the PANYNJ [Trucker\'s
Resources](http://www.panynj.gov/truckers-resources/) website and the
South Jersey Transportation Authority [Rules and
Regulations](https://www.sjta.com/sjta/rules_regs.asp) website.

(Reference [New Jersey Administrative
Code](http://www.state.nj.us/oal/rules/accessp/) 19:2-4.3)
",,,FALSE,16,Laws and Regulations,,,,,,,NG|LPG,,DREST,FLEET|GOV|IND,
9097,UT,Propane and Electricity Tax Exemptions,"Propane and electricity used to operate motor vehicles are exempt from
state motor fuel taxes. For more information, see the Utah State Tax
Commission [Fuel Taxes](http://tax.utah.gov/fuel) website. (Reference
[Utah Code](http://le.utah.gov/xcode/code.html) 59-13-102, 59-13-201,
and 59-13-301)
",,2011-03-23 00:00:00 UTC,FALSE,20,State Incentives,,2021-03-10 21:02:47 UTC,,,,,ELEC|PHEV|LPG,EXEM|TAX,,STATION|PURCH|FLEET|IND,http://le.utah.gov/xcode/code.html
9132,GA,Idle Reduction Weight Exemption,"Any motor vehicle equipped with idle reduction technology may exceed the
state gross, axle, and tandem weight limits by up to 550 pounds to
account for the weight of the technology. To be eligible for the weight
exemption, the vehicle operator must be able to present written
certification of the weight of the idle reduction technology and
demonstrate or certify that the technology is fully functional at all
times. (Reference [Georgia Code](https://www.legis.ga.gov/) 32-6-27)
",2010-05-24 00:00:00 UTC,,FALSE,25,State Incentives,,,,,,,IR,EXEM,,FLEET|GOV|IND,http://www.legis.state.ga.us/
9216,MI,Plug-In Electric Vehicle (PEV) Time-Of-Use (TOU) Rate - DTE Energy,"DTE Energy offers a TOU rate to residential customers who own a PEV. For
rate information, including how to qualify, see the DTE Energy [PEV
Rates](https://newlook.dteenergy.com/wps/wcm/connect/dte-web/home/service-request/residential/electric/pev/pev-res-rate-plans)
website.
",2010-05-01 00:00:00 UTC,,FALSE,50,Utility/Private Incentives,,,,,,,ELEC|PHEV,OTHER,,STATION|PURCH|IND,
9232,CA,Electric Vehicle Supply Equipment (EVSE) Rebate - LADWP,"The Los Angeles Department of Water and Power (LADWP) provides rebates
to commercial customers toward the purchase of Level 2 or direct current
(DC) fast EVSE. Commercial customers who purchase and install EVSE for
employee and public use can receive up to \$5,000 for each Level 2 EVSE
with up to \$500 in additional rebate funds per extra charge port.
Commercial customers may also receive up to \$75,000 per DC fast EVSE,
and up to \$125,000 per DC fast EVSE for medium- and heavy-duty vehicle
use. Eligible customers may qualify for up to 40 rebate awards depending
on the number of parking spaces at the installation site. EVSE must be
installed within the LADWP service area. Rebates are available on a
first-come, first-served basis. For program guidelines and application
materials, see the [Charge Up
L.A.!](https://www.ladwp.com/ladwp/faces/ladwp/residential/r-gogreen/r-gg-driveelectric?_adf.ctrl-state=1d4357epvd_4&_afrLoop=472125629767806)
website.
",2010-05-01 00:00:00 UTC,2015-10-01 00:00:00 UTC,FALSE,137,Utility/Private Incentives,,2020-11-13 15:48:37 UTC,,,,,ELEC|PHEV,RBATE,,STATION|FLEET|GOV|IND,
9272,IN,Plug-In Electric Vehicle (PEV) Time-Of-Use (TOU) Rates - Applied Energy Services (AES) Indiana,"AES Indiana offers a TOU rate to residential and business customers who
own a licensed PEV. Customers who are considering purchasing Level 2
electric vehicle supply equipment should contact AES Indiana to discuss
the benefits and requirements of participating in the program. Only
customers in AES territory are eligible. Restrictions apply. For more
information, see the [AES Indiana Electric
Vehicles](https://www.iplpower.com/Business/Programs_and_Services/Electric_Vehicle_Charging_and_Rates/)
website.
",,,FALSE,80,Utility/Private Incentives,,,,,,,ELEC|PHEV,OTHER,,STATION|PURCH|FLEET|IND,
9292,ID,Plug-In and Hybrid Electric Vehicle Exemption from Vehicle Testing Requirements,"Electric vehicles, plug-in hybrid electric vehicles, and hybrid electric
vehicles are exempt from state motor vehicle inspection and maintenance
programs. For more information, see the [Idaho Vehicle Inspection
Program](https://idahovip.org/) website. (Reference [Idaho
Statutes](https://legislature.idaho.gov/statutesrules/) 39-116B)
",2013-01-01 00:00:00 UTC,,FALSE,12,State Incentives,,,,,,,ELEC|HEV|PHEV,EXEM,,FLEET|GOV|IND,http://www.legislature.idaho.gov/idstat/TOC/IDStatutesTOC.htm
9296,TX,Electric Vehicle Supply Equipment (EVSE) Incentive - Austin Energy,"Plug-in electric vehicle owners in the Austin Energy service area may be
eligible for a rebate of 50% of the cost to purchase and install a
qualified Level 2 EVSE, up to \$1,200. For additional information, see
the Austin Energy [Home
Charging](https://austinenergy.com/ae/green-power/plug-in-austin/home-charging)
website.
",2011-05-31 00:00:00 UTC,,FALSE,70,Utility/Private Incentives,,,,,,,ELEC|PHEV,RBATE,,IND,
9298,MT,Low-Speed Electric Vehicle (EV) Access to Roadways,"A low-speed EV may operate only on highways with posted speed limits up
to 25 miles per hour (mph) and may not cross a highway with a posted
speed limit greater than 45 mph. A low-speed EV must have four wheels,
reach speeds of at least 20 mph but not more than 40 mph, and may only
be operated by a person with a low-speed restricted driver\'s license. A
low-speed EV must comply with Title 49 of the [Code of Federal
Regulations](http://www.gpo.gov/fdsys/), section 565. (Reference
[Montana Code Annotated](https://leg.mt.gov/bills/mca/index.html)
61-1-101, 61-5-122, 61-8-378)
",2011-04-18 00:00:00 UTC,,FALSE,80,Laws and Regulations,,,,,,,NEVS,,DREST,FLEET|GOV|IND,https://leg.mt.gov/bills/mca/index.html
9353,NC,High Occupancy Vehicle (HOV) Lane Exemption,"Qualified plug-in electric vehicles, dedicated natural gas vehicles, and
fuel cell electric vehicles may use North Carolina HOV lanes, regardless
of the number of occupants. This exemption expires September 30, 2025.
(Reference [North Carolina General
Statutes](http://www.ncleg.net/gascripts/Statutes/Statutes.asp) 20-4.01
and 20-146.2)
",2011-05-26 00:00:00 UTC,,FALSE,11,State Incentives,,,,,,,ELEC,EXEM,,FLEET|GOV|IND,http://www.ncleg.net/gascripts/Statutes/Statutes.asp
9354,NC,Plug-In Electric Vehicle (PEV) and Fuel Cell Electric Vehicle (FCEV) Emissions Inspection Exemption,"Qualified PEVs and FCEVs are exempt from state emissions inspection
requirements. Other restrictions may apply. (Reference [North Carolina
General Statutes](http://www.ncleg.net/gascripts/Statutes/Statutes.asp)
20-4.01 and 20-183.2)
",2011-05-26 00:00:00 UTC,,FALSE,12,State Incentives,,,,,,,ELEC|HY|PHEV,EXEM,,FLEET|GOV|IND,http://www.ncleg.net/gascripts/Statutes/Statutes.asp
9355,NC,Plug-In Electric Vehicle (PEV) Definition,"A PEV is defined as a vehicle that:

-   Does not have the ability to be propelled by gasoline
-   Draws electricity from a battery with a capacity of at least four
    kilowatt-hours and is capable of being charged from an external
    source
-   Has not been modified from the original equipment manufacturer power
    train specifications
-   Has a gross vehicle weight rating of 8,500 pounds or less
-   Has a maximum speed of at least 65 miles per hour
-   Meets applicable requirements in Title 49 of the [U.S. Code of
    Federal Regulations](https://www.govinfo.gov/app/collection/cfr),
    section 571.

(Reference [House Bill](https://www.ncleg.gov/house) 211, 2019 and
[North Carolina General
Statutes](http://www.ncleg.net/gascripts/Statutes/Statutes.asp) 20-4.01)
",2011-05-26 00:00:00 UTC,,FALSE,115,Laws and Regulations,,,,,,,ELEC|PHEV,,STD,MAN|FLEET|GOV|IND,http://www.ncleg.net/gascripts/Statutes/Statutes.asp|https://www.ncleg.gov/house
9372,GA,Plug-In Electric Vehicle (PEV) Charging Rate Incentive - Georgia Power,"Georgia Power offers a time-of-use electricity rate for residential
customers who own a PEV. Eligible customers must own a smart charger
capable of separately metering charger usage. For more information, see
the Georgia Power [Electric
Vehicles](https://www.georgiapower.com/residential/billing-and-rate-plans/pricing-and-rate-plans/plug-in-ev.html)
website.
",,,FALSE,55,Utility/Private Incentives,,2020-05-11 19:10:17 UTC,,,,,ELEC|PHEV,OTHER,,STATION|IND,
9374,AL,Residential Plug-In Electric Vehicle (PEV) Time-Of-Use (TOU) Rates - Alabama Power,"Alabama Power offers a discounted TOU rate to residential customers that
own or lease a PEV. Under this rate rider, customers receive a discount
on all energy consumed during the discount period without separately
metering PEV charging. For more information, see the Alabama Power [PEV
rate](https://www.alabamapower.com/content/dam/alabamapower/Rates/pev.pdf)
website.
",,,FALSE,20,Utility/Private Incentives,,,,,,,ELEC|PHEV,OTHER,,STATION|PURCH|IND,
